id,l1-in,l1-out,l2-in,l2-out,l3-in,l3-out,name,capacity,
137,20194_900092,900092_20194,900092_900093,900093_900092,900093_22363,22363_900093,Little River,210,
258,20110_900094,900094_20110,900094_900095,900095_900094,900095_22387,22387_900095,Williams Landing,306,
31,20174_900096,900096_20174,900096_900097,900097_900096,900097_22144,22144_900097,Bittern,210,
32,20107_900098,900098_20107,900098_900099,900099_900098,900099_22033,22033_900099,Black Forest,0,
33,20064_900100,900100_20064,900100_900101,900101_900100,900101_22014,22014_900101,Blackburn,457,
34,20055_900102,900102_20055,900102_900103,900103_900102,900103_22040,22040_900103,Boronia,274,
35,20015_900104,900104_20015,900104_900105,900105_900104,900105_22012,22012_900105,Box Hill,435,
38,20006_900106,900106_20006,900106_900107,900107_900106,900107_22263,22263_900107,Broadmeadows,156,
39,20162_900108,900108_20162,900108_900109,900109_900108,900109_22109,22109_900109,Bunyip,210,
140,20115_900110,900110_20115,900110_900111,900111_900110,900111_22398,22398_900111,Lynbrook,227,
142,20099_900112,900112_20099,900112_900113,900113_900112,900113_22321,22321_900113,Macleod,148,
263,20127_900114,900114_20127,900114_900115,900115_900114,900115_22600,22600_900115,Wyndham Vale,210,
265,20062_900116,900116_20062,900116_900117,900117_900116,900117_22106,22106_900117,Yarraman,128,
266,20096_900118,900118_20096,900118_900119,900119_900118,900119_22197,22197_900119,Yarraville,152,
146,20108_900120,900120_20108,900120_900121,900121_900120,900121_22389,22389_900121,McGraths Rd,0,
267,20031_900122,900122_20031,900122_900123,900123_900122,900123_22166,22166_900123,Brighton Beach,302,
147,20069_900124,900124_20069,900124_900125,900125_900124,900125_22122,22122_900125,Mckinnon,126,
268,20091_900126,900126_20091,900126_900127,900127_900126,900127_22054,22054_900127,Burwood,152,
148,20002_900128,900128_20002,900128_900129,900129_900128,900129_22236,22236_900129,Melton,464,
269,20065_900130,900130_20065,900130_900131,900131_900130,900131_22007,22007_900131,Camberwell,240,
149,20033_900132,900132_20033,900132_900133,900133_900132,900133_22128,22128_900133,Mentone,174,
41,20120_900134,900134_20120,900134_900135,900135_900134,900135_22508,22508_900135,Calder Park,210,
43,20287_900136,900136_20287,900136_900137,900137_900136,900137_22506,22506_900137,Campbellfield,0,
45,20140_900138,900138_20140,900138_900139,900139_900138,900139_22008,22008_900139,Canterbury,133,
46,20114_900140,900140_20114,900140_900141,900141_900140,900141_22513,22513_900141,Cardinia Road,241,
47,20130_900142,900142_20130,900142_900143,900143_900142,900143_22089,22089_900143,Carnegie,261,
48,20123_900144,900144_20123,900144_900145,900145_900144,900145_22419,22419_900145,Caroline Springs,0,
49,20080_900146,900146_20080,900146_900147,900147_900146,900147_22135,22135_900147,Carrum,195,
150,20085_900148,900148_20085,900148_900149,900149_900148,900149_22115,22115_900149,Merinda Park,242,
271,20135_900150,900150_20135,900150_900151,900151_900150,900151_22066,22066_900151,Glen Iris,130,
151,20094_900152,900152_20094,900152_900153,900153_900152,900153_22282,22282_900153,Merlynston,148,
272,20020_900154,900154_20020,900154_900155,900155_900154,900155_22070,22070_900155,Jordanville,139,
273,20087_900156,900156_20087,900156_900157,900157_900156,900157_22013,22013_900157,Laburnum,92,
274,20078_900158,900158_20078,900158_900159,900159_900158,900159_22164,22164_900159,North Brighton,187,
154,20017_900160,900160_20017,900160_900161,900161_900160,900161_22016,22016_900161,Mitcham,520,
275,20104_900162,900162_20104,900162_900163,900163_900162,900163_22235,22235_900163,Rockbank,0,
276,20134_900164,900164_20134,900164_900165,900165_900164,900165_22125,22125_900165,Moorabbin,132,
156,20142_900166,900166_20142,900166_900167,900167_900166,900167_22011,22011_900167,Mont Albert,122,
277,20113_900168,900168_20113,900168_900169,900169_900168,900169_22034,22034_900169,Clyde,210,
157,20098_900170,900170_20098,900170_900171,900171_900170,900171_22324,22324_900171,Montmorency,139,
278,20100_900172,900172_20100,900172_900173,900173_900172,900173_22112,22112_900173,Cranbourne East,210,
158,20211_900174,900174_20211,900174_900175,900175_900174,900175_22255,22255_900175,Moonee Ponds,132,
159,20012_900176,900176_20012,900176_900177,900177_900176,900177_22021,22021_900177,Mooroolbark,410,
51,20129_900178,900178_20129,900178_900179,900179_900178,900179_22845,22845_900179,Caulfield Metro,471,
52,20141_900180,900180_20141,900180_900181,900181_900180,900181_22009,22009_900181,Chatham,72,
53,20081_900182,900182_20081,900182_900183,900183_900182,900183_22133,22133_900183,Chelsea,172,
54,20032_900184,900184_20032,900184_900185,900185_900184,900185_22127,22127_900185,Cheltenham,233,
57,20026_900186,900186_20026,900186_900187,900187_900186,900187_22094,22094_900187,Clayton,355,
58,20075_900188,900188_20075,900188_900189,900189_900188,900189_22292,22292_900189,Clifton Hill,118,
280,20189_900190,900190_20189,900190_900191,900191_900190,900191_22308,22308_900191,Mernda,210,
161,20034_900192,900192_20034,900192_900193,900193_900192,900193_22130,22130_900193,Mordialloc,232,
